step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
0,0.0,20.9748,7.7392,25.6487,0.0,0.0,0.0,0.071,31.176,40.244,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.048,-0.0012,0.048,0.0679,-0.7981,0,0,0,0.979,0.68,0.32,0,0,0.0,3,SEARCH_PHASE,0.0,0.0,25.1114,18.4753
1,0.127,20.9748,7.7392,25.6491,0.0,0.0,0.0186,0.071,31.176,40.244,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.096,-0.0018,0.096,0.1358,-0.7941,0,0,0,0.978,0.68,0.32,0,0,0.0,3,SEARCH_PHASE,0.0,0.0,25.1114,18.4753
2,0.249,20.9748,7.7392,25.65,0.0,0.0,0.0478,0.072,31.176,40.245,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.144,-0.002,0.144,0.2036,-0.7913,0,0,0,0.978,0.68,0.32,0,0,0.0,3,SEARCH_PHASE,0.0,0.0,25.1114,18.4753
3,0.372,20.9748,7.7392,25.6517,-0.003,-0.0001,0.0844,0.074,31.176,40.246,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.192,-0.0008,0.192,0.2715,-0.7878,0,0,0,0.978,0.68,0.32,0,0,1.0,3,SEARCH_PHASE,-0.003,-0.0001,25.1114,18.4753
4,0.498,20.9746,7.7392,25.6542,-0.006,-0.0001,0.1255,0.076,31.175,40.247,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.2399,0.0009,0.24,0.3394,-0.7711,0,0,0,0.978,0.68,0.32,0,0,2.0,3,SEARCH_PHASE,-0.006,-0.0001,25.1113,18.4753
5,0.578,20.9744,7.7392,25.6576,-0.0122,-0.0005,0.1699,0.079,31.175,40.249,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.2878,0.0044,0.288,0.4072,-0.7945,0,0,0,0.978,0.68,0.32,0,0,3.0,3,SEARCH_PHASE,-0.0122,-0.0005,25.111,18.4753
6,0.657,20.974,7.7392,25.662,-0.0213,0.0002,0.2164,0.084,31.175,40.252,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.3357,0.007,0.336,0.475,-0.7585,0,0,0,0.976,0.679,0.321,0,0,4.0,3,SEARCH_PHASE,-0.0213,0.0002,25.1106,18.4753
7,0.736,20.9732,7.7392,25.6672,-0.0365,-0.0009,0.2638,0.089,31.174,40.254,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.3835,0.0116,0.384,0.5428,-0.7825,0,0,0,0.976,0.679,0.321,0,0,5.0,3,SEARCH_PHASE,-0.0365,-0.0009,25.1099,18.4752
8,0.815,20.9722,7.7392,25.6735,-0.0539,-0.0004,0.3122,0.095,31.173,40.258,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.4313,0.0161,0.432,0.6107,-0.7464,0,0,0,0.976,0.679,0.321,0,0,6.0,3,SEARCH_PHASE,-0.0539,-0.0004,25.1088,18.4752
9,0.894,20.9706,7.7391,25.6807,-0.0769,-0.0012,0.3606,0.102,31.172,40.261,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.479,0.0218,0.48,0.6784,-0.7709,0,0,0,0.976,0.678,0.322,0,0,7.0,3,SEARCH_PHASE,-0.0769,-0.0012,25.1072,18.4752
10,0.973,20.9686,7.7391,25.6889,-0.1017,-0.0001,0.4097,0.111,31.171,40.265,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.5266,0.0281,0.528,0.7462,-0.7348,0,0,0,0.974,0.678,0.322,0,0,8.0,3,SEARCH_PHASE,-0.1017,-0.0001,25.1052,18.4752
11,1.052,20.9659,7.7391,25.6981,-0.1317,0.0001,0.4583,0.12,31.168,40.269,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-0.5739,0.0361,0.576,0.8139,-0.7596,0,0,0,0.974,0.678,0.322,0,0,9.0,3,SEARCH_PHASE,-0.1317,0.0001,25.1026,18.4752
