step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
0,0.0,-26.4857,21.633,0.451,0.0,0.0,0.0,0.121,73.844,73.844,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.048,-0.0013,0.048,0.0679,-0.1779,0,0,0,0.978,0.605,0.395,0,0,0.0,4,SEARCH_PHASE,0.0,0.0,-62.6101,39.1515
1,0.026,-26.4857,21.633,0.4514,0.0,0.0,0.0186,0.121,73.844,73.844,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.096,-0.0021,0.096,0.1358,-0.1739,0,0,0,0.976,0.607,0.393,0,0,0.0,4,SEARCH_PHASE,0.0,0.0,-62.6101,39.1515
2,0.051,-26.4857,21.633,0.4523,0.0,-0.0,0.0478,0.122,73.844,73.844,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.144,-0.0025,0.144,0.2036,-0.1712,0,0,0,0.976,0.607,0.393,0,0,0.0,4,SEARCH_PHASE,0.0,-0.0,-62.6101,39.1515
3,0.075,-26.4858,21.633,0.454,-0.003,-0.0001,0.0844,0.124,73.844,73.844,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.192,-0.0016,0.192,0.2715,-0.1676,0,0,0,0.976,0.613,0.387,0,0,1.0,4,SEARCH_PHASE,-0.003,-0.0001,-62.6102,39.1515
4,0.1,-26.4859,21.633,0.4565,-0.006,-0.0002,0.1255,0.126,73.844,73.844,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.2399,-0.0002,0.24,0.3394,-0.1517,0,0,0,0.976,0.613,0.387,0,0,2.0,4,SEARCH_PHASE,-0.006,-0.0002,-62.6103,39.1515
5,0.122,-26.4861,21.633,0.4599,-0.0123,-0.0006,0.1699,0.129,73.844,73.844,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.2878,0.003,0.288,0.4072,-0.175,0,0,0,0.976,0.606,0.394,0,0,3.0,4,SEARCH_PHASE,-0.0123,-0.0006,-62.6105,39.1515
6,0.144,-26.4866,21.633,0.4643,-0.0213,0.0001,0.2164,0.134,73.844,73.845,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.3358,0.0053,0.336,0.4751,-0.139,0,0,0,0.976,0.602,0.398,0,0,4.0,4,SEARCH_PHASE,-0.0213,0.0001,-62.611,39.1515
7,0.167,-26.4873,21.633,0.4695,-0.0365,-0.0012,0.2638,0.139,73.845,73.845,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.3836,0.0091,0.384,0.5429,-0.163,0,0,0,0.974,0.59,0.41,0,0,5.0,4,SEARCH_PHASE,-0.0365,-0.0012,-62.6117,39.1515
8,0.191,-26.4884,21.6329,0.4758,-0.0539,-0.0009,0.3122,0.145,73.846,73.846,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.4314,0.0136,0.432,0.6107,-0.1269,0,0,0,0.974,0.586,0.414,0,0,6.0,4,SEARCH_PHASE,-0.0539,-0.0009,-62.6128,39.1514
9,0.215,-26.4899,21.6329,0.483,-0.077,-0.0021,0.3606,0.152,73.847,73.848,36.1244,-17.5185,0.2,0.0,0.0,0.0,-0.479,0.0199,0.48,0.6784,-0.1514,0,0,0,0.974,0.608,0.392,0,0,7.0,4,SEARCH_PHASE,-0.077,-0.0021,-62.6143,39.1514
